,chars,lines,line_num,mod_line,scene_setup
333,Chi Fu,"Captain! (They turn to see a bloody battlefield full of dead Chinese soldiers. Chien-Po hands the general's helmet to Shang.)
",888,Captain! (They turn to see a bloody battlefield full of dead Chinese soldiers. Chien-Po hands the general's helmet to Shang.),
334,Chien-Po,"The ... general.
Shang takes his sword and sticks it in the snow, then places the helmet on the hilt and says a prayer.
",890,"The ... general. Shang takes his sword and sticks it in the snow, then places the helmet on the hilt and says a prayer.",
335,Mulan,"I'm sorry.
",893,I'm sorry.,
336,Shang,"[mounts his horse] The Huns are moving quickly. We'll make better time to the Imperial City through the Tung Show pass. We're the only hope for the Emperor now. Move out!
The army slowly walks away. Mulan places the doll by Shang's sword and joins the others.
As the Chinese Soldiers slowly walk through the mountain pass, a rocket in the wagon attached to Khan suddenly goes off, shooting into the sky. Mulan looks at Mushu accusingly.
",895,"The Huns are moving quickly. We'll make better time to the Imperial City through the Tung Show pass. We're the only hope for the Emperor now. Move out! The army slowly walks away. Mulan places the doll by Shang's sword and joins the others. As the Chinese Soldiers slowly walk through the mountain pass, a rocket in the wagon attached to Khan suddenly goes off, shooting into the sky. Mulan looks at Mushu accusingly.",mounts his horse
337,Shang,"What happened? You just gave away out position! Now we're-- [an arrow hits his shoulder, throwing him off the horse. Huns appear on a cliff, and arrows shower down on the soldiers.] Get out of range!
The pitiful Chinese army struggles to get away from the Huns, but are intercepted by another group of Huns up on another cliff.
",899,"What happened? You just gave away out position! Now we're--  Get out of range! The pitiful Chinese army struggles to get away from the Huns, but are intercepted by another group of Huns up on another cliff.","an arrow hits his shoulder, throwing him off the horse. Huns appear on a cliff, and arrows shower down on the soldiers."
338,Shang,"Save the cannons! [The soldiers pass the cannons from the wagon to each other. The wagon gets hit by a flaming arrow, and Mulan cuts Khan's reins and mounts him. The wagon explodes, sending Mushu and Crickee flying. Mulan falls off the horse.]
",902,Save the cannons!,"The soldiers pass the cannons from the wagon to each other. The wagon gets hit by a flaming arrow, and Mulan cuts Khan's reins and mounts him. The wagon explodes, sending Mushu and Crickee flying. Mulan falls off the horse."
339,Mushu,"Oh, sure, save the horse. [Mulan grabs Mushu and her sword and runs over to the other soldiers.]
",904,"Oh, sure, save the horse.",Mulan grabs Mushu and her sword and runs over to the other soldiers.
340,Shang,"Fire! [The soldier lights the cannon, and it explodes on the mountain. More follow.] Fire! [There is no sound from the Huns, who are no longer on the cliffs.] Hold the last cannon.
Suddenly, a horse appears on the hill. Shan Yu is soon joined by hundreds of Hun soldiers.
",906,"Fire!  Fire!  Hold the last cannon. Suddenly, a horse appears on the hill. Shan Yu is soon joined by hundreds of Hun soldiers.","The soldier lights the cannon, and it explodes on the mountain. More follow.There is no sound from the Huns, who are no longer on the cliffs."
341,Shang,"Prepare to fight. If we die, we die with honor. [The Huns charge the Chinese Army.] Yao. Aim the cannon at Shan Yu. [Yao aims the cannon.]
While glancing at her sword, Mulan notices a glacial overhang. She grabs the cannon and runs toward the Huns, aiming at the overhang.
",909,"Prepare to fight. If we die, we die with honor.  Yao. Aim the cannon at Shan Yu.  While glancing at her sword, Mulan notices a glacial overhang. She grabs the cannon and runs toward the Huns, aiming at the overhang.",The Huns charge the Chinese Army.Yao aims the cannon.
342,Shang,"Ping! Ping, come back!
Frantically, as Shan Yu draws nearer, his sword raised, Mulan fumbles with the match.
",912,"Ping! Ping, come back! Frantically, as Shan Yu draws nearer, his sword raised, Mulan fumbles with the match.",
343,Mushu,"Okay, you might want to light that right about now, Quickly, quickly! [Mulan is attacked by Shan Yu's hawk, and loses the match.]
",915,"Okay, you might want to light that right about now, Quickly, quickly!","Mulan is attacked by Shan Yu's hawk, and loses the match."
344,Yao,"C'mon, we gotta help! [The Gang of Three run toward Mulan, swinging their swords.]
Mulan uses Mushu to light the cannon fuse, and it shoots off toward the overhang.
",917,"C'mon, we gotta help!  Mulan uses Mushu to light the cannon fuse, and it shoots off toward the overhang.","The Gang of Three run toward Mulan, swinging their swords."
345,Mushu,"You missed! How could you miss?! He was three feet in front of you! [The cannon hits the overhang with a bang, and causes an avalanche that rains down on the Hun Army, burying in them. In fury, Shan Yu roars and hits Mulan in the side with his sword blade. She quickly runs away from the avalanche, pulling Shang with her. Khan runs toward them, and Mulan gets on and tries to give Shang a hand, but he loses his grip and is dragged into the snow.]
",920,You missed! How could you miss?! He was three feet in front of you!,"The cannon hits the overhang with a bang, and causes an avalanche that rains down on the Hun Army, burying in them. In fury, Shan Yu roars and hits Mulan in the side with his sword blade. She quickly runs away from the avalanche, pulling Shang with her. Khan runs toward them, and Mulan gets on and tries to give Shang a hand, but he loses his grip and is dragged into the snow."
346,Mushu,"[riding down the snow in a hubcap] Mulan!! Mulan! Mulan? [He pulls a Hun's head out of the snow.] Nope. Mulan! [He reaches down and pulls out Crickee.] Man, you are one lucky bug.
Mulan and Khan break out of the snow and race toward Shang, who, unconscious, is sliding on the snow toward a cliff.
",922,"Mulan!! Mulan! Mulan?  Nope. Mulan!  Man, you are one lucky bug. Mulan and Khan break out of the snow and race toward Shang, who, unconscious, is sliding on the snow toward a cliff.",riding down the snow in a hubcapHe pulls a Hun's head out of the snow.He reaches down and pulls out Crickee.
347,Mulan,"Shang! [She pulls him up onto the saddle.]
",925,Shang!,She pulls him up onto the saddle.
348,Chien-Po,"[holding up Yao] Do you see them?
",927,Do you see them?,holding up Yao
349,Yao,"Yes! [He fits an arrow, which is tied to a length of rope, and shoots it toward Mulan.] Perfect! Now I'll pull them to safety! [The rope slips through his hands.]
",929,Yes!  Perfect! Now I'll pull them to safety!,"He fits an arrow, which is tied to a length of rope, and shoots it toward Mulan.The rope slips through his hands."
350,Mushu,"[sliding near Mulan and Shang] Mulan! I found a lucky cricket!
",931,Mulan! I found a lucky cricket!,sliding near Mulan and Shang
351,Mulan,"We need help! [The arrow flies near them, Mulan grabs it and ties it around Khan.]
",933,We need help!,"The arrow flies near them, Mulan grabs it and ties it around Khan."
352,Mushu,"[to Crickee] Nice, very nice! You can sit by me! [They climb up onto Khan, and notice the cliff.] Aaaugh!!! We're gonna die! We're gonna die! No way we survive this! Death is coming! [Mulan shoots the arrow up as they fall off the cliff.]
",935,"Nice, very nice! You can sit by me!  Aaaugh!!! We're gonna die! We're gonna die! No way we survive this! Death is coming!","to CrickeeThey climb up onto Khan, and notice the cliff.Mulan shoots the arrow up as they fall off the cliff."
353,Yao,"[crying] I let them slip through my fingers ... [looks surprised as the arrow, complete with rope, lands in his hands. He is dragged toward the cliff edge, soldiers jumping on top of him. Finally Chien-Po walks over, picks all the soldiers up, and walks backward, pulling Mulan, Khan, and Shang up onto the ground.]
",937,I let them slip through my fingers ...,"cryinglooks surprised as the arrow, complete with rope, lands in his hands. He is dragged toward the cliff edge, soldiers jumping on top of him. Finally Chien-Po walks over, picks all the soldiers up, and walks backward, pulling Mulan, Khan, and Shang up onto the ground."
354,Mushu,"I knew we could do it! You the man! Well, sort of.
",939,"I knew we could do it! You the man! Well, sort of.",
355,Ling,"Step back, guys. Give him some air!
",941,"Step back, guys. Give him some air!",
356,Shang,"[breathing heavily] Ping, you are the craziest man I ever met. And for that, I owe you my life. From now on, you have my trust.
",943,"Ping, you are the craziest man I ever met. And for that, I owe you my life. From now on, you have my trust.",breathing heavily
357,Ling,"Let's hear it for Ping, the bravest of us all!
",945,"Let's hear it for Ping, the bravest of us all!",
358,Yao,"You're King of the Mountain!
Cheering
Mulan tries to stand up, but collapses to the ground, gasping.
",947,"You're King of the Mountain! Cheering Mulan tries to stand up, but collapses to the ground, gasping.",
359,Shang,"Ping! What's wrong? [Mulan moves her hands to reveal blood.] He's wounded! Get help! [Mulan sinks into unconsciousness.] Ping, hold on. Hold on.
The doctor emerges from his tent and says something to Shang, who looks disturbed and rushes inside. He looks at Mulan, who sits up in bed, her side bandaged. Shang stares at her, recognizing her as a girl. Mulan realizes her mistake and pulls the blanket back on.
",951,"Ping! What's wrong?  He's wounded! Get help!  Ping, hold on. Hold on. The doctor emerges from his tent and says something to Shang, who looks disturbed and rushes inside. He looks at Mulan, who sits up in bed, her side bandaged. Shang stares at her, recognizing her as a girl. Mulan realizes her mistake and pulls the blanket back on.",Mulan moves her hands to reveal blood.Mulan sinks into unconsciousness.
360,Mulan,"I can explain!
",954,I can explain!,
361,Chi Fu,"So it's true!
",956,So it's true!,
362,Mulan,"Shang!
",958,Shang!,
363,Chi Fu,"[yanking Mulan out of the tent and pulling her hair out of a bun] I knew there was something wrong with you! A woman! Treacherous snake!
",960,I knew there was something wrong with you! A woman! Treacherous snake!,yanking Mulan out of the tent and pulling her hair out of a bun
364,Mulan,"My name is Mulan. I did it to save my father!
",962,My name is Mulan. I did it to save my father!,
365,Chi Fu,"High treason!
",964,High treason!,
366,Mulan,"I didn't mean for it to go this far!
",966,I didn't mean for it to go this far!,
367,Chi Fu,"Ultimate dishonor!
",968,Ultimate dishonor!,
368,Mulan,"It was the only way! Please, believe me!
",970,"It was the only way! Please, believe me!",
369,Chi Fu,"Captain?
Shang walks over to Khan and takes out Mulan's sword. The Gang of Three start to rush over to her, but Chi Fu stops them.
",972,"Captain? Shang walks over to Khan and takes out Mulan's sword. The Gang of Three start to rush over to her, but Chi Fu stops them.",
370,Chi Fu,"[to the soldiers holding Khan] Restrain him. [to the Gang of Three] You know the law.
Shang walks over to Mulan and throws the sword in the snow in front of her.
",975,Restrain him.  You know the law. Shang walks over to Mulan and throws the sword in the snow in front of her.,to the soldiers holding Khanto the Gang of Three
371,Shang,"A life for a life. My debt is repaid. [to the soldiers] Move out!
",978,A life for a life. My debt is repaid.  Move out!,to the soldiers
372,Chi Fu,"But you can't just ...
",980,But you can't just ...,
373,Shang,"[to Chi Fu] I said, 'Move out.'
The Chinese Army sadly walks away, leaving Mulan, Mushu, and Khan in the snow.
",982,"I said, 'Move out.' The Chinese Army sadly walks away, leaving Mulan, Mushu, and Khan in the snow.",to Chi Fu
374,Mushu,"I was this close. This close! To impressing the ancestors, getting the top shelf, in entourage ... man. All my fine work. [He uses the tip of an arrow to roast a piece of food over a tiny fire.]
",985,"I was this close. This close! To impressing the ancestors, getting the top shelf, in entourage ... man. All my fine work.",He uses the tip of an arrow to roast a piece of food over a tiny fire.
375,Mulan,"I should never have left home.
",987,I should never have left home.,
376,Mushu,"Hey C'mon. You wanted to save your father's life. Who knew you'd end up shaming him, disgracing your ancestors and losing all your friends. Y'know, you just gotta ... just gotta learn to let these things go.
",989,"Hey C'mon. You wanted to save your father's life. Who knew you'd end up shaming him, disgracing your ancestors and losing all your friends. Y'know, you just gotta ... just gotta learn to let these things go.",
377,Mulan,"Maybe I didn't go for my father. Maybe what I really wanted was to prove that I could do things right. So that when I looked in the mirror (she picks up her helmet) I'd see someone worthwhile. But I was wrong. I see nothing.
",991,Maybe I didn't go for my father. Maybe what I really wanted was to prove that I could do things right. So that when I looked in the mirror (she picks up her helmet) I'd see someone worthwhile. But I was wrong. I see nothing.,
378,Mushu,"Hey, that's just cause this needs a little spit, that's all. [He spits on the helmet.] Let me shine this up for you. I can see you, lookit you, you look so pretty! The truth is, we're both frauds. Your ancestors didn't send me; they don't even like me. I mean, you risked your life to help people you love. I risked your life to help myself. At least you had good intentions.
Crickee starts to cry
",993,"Hey, that's just cause this needs a little spit, that's all.  Let me shine this up for you. I can see you, lookit you, you look so pretty! The truth is, we're both frauds. Your ancestors didn't send me; they don't even like me. I mean, you risked your life to help people you love. I risked your life to help myself. At least you had good intentions. Crickee starts to cry",He spits on the helmet.
379,Mushu,"What do you mean, you're not lucky! You ... lied to me? [Crickee nods. Mushu turns to Khan.] And what are you, a sheep?
",996,"What do you mean, you're not lucky! You ... lied to me?  And what are you, a sheep?",Crickee nods. Mushu turns to Khan.
380,Mulan,"I'll have to face my father sooner or later. Let's go home
",998,I'll have to face my father sooner or later. Let's go home,
381,Mushu,"Yeah. This ain't gonna be pretty. But don't u worry, okay? Things will work out. We started this thing together and that's how we'll finish it. I promise.
The shadow of a hawk flies overheard, and around a bend. Shan Yu climb out of the snow and looks around. He lets out a roar. Soon he is joined by five of his soldiers. They start down the path toward the Imperial City. Mulan watches them, grabs her sword, mounts Khan and turns after the Huns.
",1000,"Yeah. This ain't gonna be pretty. But don't u worry, okay? Things will work out. We started this thing together and that's how we'll finish it. I promise. The shadow of a hawk flies overheard, and around a bend. Shan Yu climb out of the snow and looks around. He lets out a roar. Soon he is joined by five of his soldiers. They start down the path toward the Imperial City. Mulan watches them, grabs her sword, mounts Khan and turns after the Huns.",
382,Mushu,"Uh, home is that way.
",1003,"Uh, home is that way.",
383,Mulan,"I have to do something.
",1005,I have to do something.,
384,Mushu,"Did you see those Huns? They popped out of the snow! LIKE DAISIES!
",1007,Did you see those Huns? They popped out of the snow! LIKE DAISIES!,
385,Mulan,"Are we in this together, or not?
",1009,"Are we in this together, or not?",
386,Mushu,"[looks guilty] Let's go kick some Honey Bunch! [He and Crickee jump on Khan, and they ride down the mountain, whooping.]
In the Imperial City
The Chinese citizens watch happily as the Imperial City celebrates the Chinese victory with a parade.
",1011,Let's go kick some Honey Bunch!  In the Imperial City The Chinese citizens watch happily as the Imperial City celebrates the Chinese victory with a parade.,"looks guiltyHe and Crickee jump on Khan, and they ride down the mountain, whooping."
387,Parade Leader,"Make way for the heroes of China! [Shang, the Gang of Three and the other soldiers follow glumly behind, and behind them is a large Chinese dragon.]
Mulan comes riding up beside Shang
",1015,Make way for the heroes of China!  Mulan comes riding up beside Shang,"Shang, the Gang of Three and the other soldiers follow glumly behind, and behind them is a large Chinese dragon."
388,Mulan,"Shang!
",1018,Shang!,
389,Shang,"Mulan?
",1020,Mulan?,
390,Mulan,"The Huns are alive! They're in the city!
",1022,The Huns are alive! They're in the city!,
391,Shang,"You don't belong here, Mulan. Go home.
",1024,"You don't belong here, Mulan. Go home.",
392,Mulan,"Shang, I saw them in the mountains! You have to believe me!
",1026,"Shang, I saw them in the mountains! You have to believe me!",
393,Shang,"Why should I?
",1028,Why should I?,
394,Mulan,"Why else would I come back? You said you'd trust Ping. Why is Mulan any different? [Shang rides around her.] [To the Gang of Three] Keep your eyes open. I know they're here. Yah!
",1030,Why else would I come back? You said you'd trust Ping. Why is Mulan any different?   Keep your eyes open. I know they're here. Yah!,Shang rides around her.To the Gang of Three
395,Mushu,"[as Mulan dismounts Khan] Now where are you going?
",1032,Now where are you going?,as Mulan dismounts Khan
396,Mulan,"To find someone who will believe me! [she hurries off into the crowd.]
The Chinese Army climbs the steps to the Great Palace, followed by the Chinese Dragon. The Emperor meets them.
",1034,"To find someone who will believe me!  The Chinese Army climbs the steps to the Great Palace, followed by the Chinese Dragon. The Emperor meets them.",she hurries off into the crowd.
397,Emperor,"My children! Heaven smiles down upon the Middle Kingdom! Chin will sleep safely tonight, thanks to our brave warriors!
",1037,"My children! Heaven smiles down upon the Middle Kingdom! Chin will sleep safely tonight, thanks to our brave warriors!",
398,Mulan,"[to a citizen] Sir, the Emperor's in danger!
",1039,"Sir, the Emperor's in danger!",to a citizen
399,Man,"Huh!
",1041,Huh!,
400,Mulan,"But the Huns are HERE! [to another man] Please, you have to help!
",1043,"But the Huns are HERE!  Please, you have to help!",to another man
401,Man,"Eh!
",1045,Eh!,
402,Mulan,"[to Mushu] No one will listen!
",1047,No one will listen!,to Mushu
403,Mushu,"Huh? Oh, I'm sorry, did you say something?
",1049,"Huh? Oh, I'm sorry, did you say something?",
404,Mulan,"Mushu ...
",1051,Mushu ...,
405,Mushu,"Hey, you're a girl again, remember?
",1053,"Hey, you're a girl again, remember?",
406,Shang,"Your Majesty, I present to you the sword of Shan Yu.
",1055,"Your Majesty, I present to you the sword of Shan Yu.",
407,Emperor,"I know what this means to you, Captain Li. Your father would have been very proud.
Shan Yu's hawk swoops down and grabs the sword. It flaps up to the roof, where a line of stone gargoyles are resting. One of the gargoyles moves and takes the sword. Huns jump out of the Chinese Dragon. One of them grabs the Emperor and takes him into the palace.
",1057,"I know what this means to you, Captain Li. Your father would have been very proud. Shan Yu's hawk swoops down and grabs the sword. It flaps up to the roof, where a line of stone gargoyles are resting. One of the gargoyles moves and takes the sword. Huns jump out of the Chinese Dragon. One of them grabs the Emperor and takes him into the palace.",
408,Shang,"No!
",1060,No!,
409,Yao,"C'mon! [They run up to the palace, but the Huns close the great doors. On the roof, Shan Yu laughs.]
The Chinese Army uses a statue to try to break into the palace.
",1062,C'mon!  The Chinese Army uses a statue to try to break into the palace.,"They run up to the palace, but the Huns close the great doors. On the roof, Shan Yu laughs."
410,Mulan,"They'll never reach the Emperor in time. [She looks around, then at the tall pillars by the side of the palace. She whistles to them.] Hey guys! I've got an idea! [The Gang of Three looks at each other and then follows Mulan, dropping the statue.]
They all take off their equipment, and put on dresses and makeup, and they use the silk belts around their waists to climb up the pillars. Next to them, Shang takes off his cape and climbs up.
Inside the palace, on a balcony, the Huns hold the Emperor. Shan Yu sticks his head in their faces.
",1065,"They'll never reach the Emperor in time.  Hey guys! I've got an idea!  They all take off their equipment, and put on dresses and makeup, and they use the silk belts around their waists to climb up the pillars. Next to them, Shang takes off his cape and climbs up. Inside the palace, on a balcony, the Huns hold the Emperor. Shan Yu sticks his head in their faces.","She looks around, then at the tall pillars by the side of the palace. She whistles to them.The Gang of Three looks at each other and then follows Mulan, dropping the statue."
411,Shan Yu,"[to the Emperor] Boo. [to his soldiers] Guard the door! [to the Emperor] Your walls and armies have fallen. And now it's your turn. Bow to me.
Outside, Mulan and the Gang of Three prepare to get past the guards.
",1069,"Boo.  Guard the door!  Your walls and armies have fallen. And now it's your turn. Bow to me. Outside, Mulan and the Gang of Three prepare to get past the guards.",to the Emperorto his soldiersto the Emperor
412,Mulan,"Okay. Any questions?
",1072,Okay. Any questions?,
413,Yao,"Does this dress make me look fat? [he is slapped] Ow!
The four ""girls"" walk near the guards, giggling.
",1074,"Does this dress make me look fat?  Ow! The four ""girls"" walk near the guards, giggling.",he is slapped
414,Guard,"Who's there?
",1077,Who's there?,
415,Guard #2,"Concubines.
",1079,Concubines.,
416,Guard,"Ugly concubines.
An apple rolls out of Ling's dress. One of the guards picks it up. The hawk notices Shang hiding, and tries to call out, but Mushu breaths fire and torches him.
",1081,"Ugly concubines. An apple rolls out of Ling's dress. One of the guards picks it up. The hawk notices Shang hiding, and tries to call out, but Mushu breaths fire and torches him.",
417,Mushu,"Now that's what I call Mongolian barbeque.
The guard hands the apple to Ling, but the Gang of Three all pull fruit out of their dresses and attack the guards.
",1084,"Now that's what I call Mongolian barbeque. The guard hands the apple to Ling, but the Gang of Three all pull fruit out of their dresses and attack the guards.",
418,Mulan,"Shang! Go! [Shang runs up the stairs and into the room where Shan Yu and the Emperor are.]
",1087,Shang! Go!,Shang runs up the stairs and into the room where Shan Yu and the Emperor are.
419,Shan Yu,"I tire of your arrogance, old man. Bow to me!
",1089,"I tire of your arrogance, old man. Bow to me!",
420,Emperor,"No matter how the wind howls, the mountain cannot bow to it.
",1091,"No matter how the wind howls, the mountain cannot bow to it.",
421,Shan Yu,"[raising his sword] Then you will kneel ... in pieces! [He swings the sword; Shang rushes in and blocks it. He is swung around a pillar, and then kicks Shan Yu in the face.]
",1093,Then you will kneel ... in pieces!,"raising his swordHe swings the sword; Shang rushes in and blocks it. He is swung around a pillar, and then kicks Shan Yu in the face."
422,Mulan,"Chien-Po, get the Emperor!
",1095,"Chien-Po, get the Emperor!",
423,Chien-Po,"Sorry, your Majesty. [He picks up the Emperor, and, using his silk belt, slides down the cord paper lanterns are strung on.]
",1097,"Sorry, your Majesty.","He picks up the Emperor, and, using his silk belt, slides down the cord paper lanterns are strung on."
424,Shun Yu,"No! [He picks up Shang and smashes his head against Shang's. Mulan winces, then looks down at the ground, where Yao and Ling are waiting.]
",1099,No!,"He picks up Shang and smashes his head against Shang's. Mulan winces, then looks down at the ground, where Yao and Ling are waiting."
425,Yao,"Come on!
Mulan looks back at the unconscious Shang, and at Shan Yu who is approaching him. She pulls Shan Yu's sword out of the pillar and cuts the cord. People below cheer.
",1101,"Come on! Mulan looks back at the unconscious Shang, and at Shan Yu who is approaching him. She pulls Shan Yu's sword out of the pillar and cuts the cord. People below cheer.",
426,Shan Yu,"No! [He turns to Shang, who is now conscious.] You! You took away my victory! [He is hit by a shoe.]
",1104,No!  You! You took away my victory!,"He turns to Shang, who is now conscious.He is hit by a shoe."
427,Mulan,"No! I did. [She pulls back her hair.]
",1106,No! I did.,She pulls back her hair.
428,Shan Yu,"The soldier from the mountain! [Abandoning Shang, he chases after Mulan, who is putting on her shoe. She slams the door shut, and he rams his fist through the wood. Mulan is joined by Mushu and Crickee, riding the feather-less hawk.]
",1108,The soldier from the mountain!,"Abandoning Shang, he chases after Mulan, who is putting on her shoe. She slams the door shut, and he rams his fist through the wood. Mulan is joined by Mushu and Crickee, riding the feather-less hawk."
429,Mushu,"So what's the plan?
",1110,So what's the plan?,
430,Mulan,"Ummmmm ...
",1112,Ummmmm ...,
431,Mushu,"YOU DON'T HAVE A PLAN?
",1114,YOU DON'T HAVE A PLAN?,
432,Mulan,"Hey, I'm making this up as I ... go ... [as they pass a window she notices a pile of fireworks and two men.] Mushu--
",1116,"Hey, I'm making this up as I ... go ...  Mushu--",as they pass a window she notices a pile of fireworks and two men.
433,Mushu,"Way ahead of you, sister! C'mon, Crickee! [They jump onto a paper kite decoration and float across to the tower. Shan Yu attacks Mulan, and she shinnies up a pole. Shan Yu cuts down the pole, and Mulan and the pole go through the wall. Mulan jumps up and grabs onto the roof and pulls herself up. She looks across to where Mushu and Crickee are gathering ammunition.]
",1118,"Way ahead of you, sister! C'mon, Crickee!","They jump onto a paper kite decoration and float across to the tower. Shan Yu attacks Mulan, and she shinnies up a pole. Shan Yu cuts down the pole, and Mulan and the pole go through the wall. Mulan jumps up and grabs onto the roof and pulls herself up. She looks across to where Mushu and Crickee are gathering ammunition."
434,Mushu,"Citizens. I need firepower!
",1120,Citizens. I need firepower!,
435,Citizen,"Who are you?
",1122,Who are you?,
436,Mushu,"[looking fierce] Your worst nightmare. [The two men jump off the tower.]
",1124,Your worst nightmare.,looking fierceThe two men jump off the tower.
437,Man,"Look! On the roof!
Mulan backs along the roof, mesuring the distance with her hands. Shan Yu crashes through the roof and raises his sword. Mulan pulls out a paper fan.
",1126,"Look! On the roof! Mulan backs along the roof, mesuring the distance with her hands. Shan Yu crashes through the roof and raises his sword. Mulan pulls out a paper fan.",
438,Shan Yu,"Guess you're out of ideas. [He stabs the sword through the fan; Mulan turns it around and readies the sword.]
",1129,Guess you're out of ideas.,He stabs the sword through the fan; Mulan turns it around and readies the sword.
439,Mulan,"Not quite. Ready, Mushu?
",1131,"Not quite. Ready, Mushu?",
440,Mushu,"[with a rocket strapped to his back] I am ready, baby! [He breaths fire on a stick and hands it to Crickee.] Light me!
Mulan kicks Shan Yu in the face, then trips him and pins his shirt to the ground with the sword. Crickee lights the fuse, and the rocket slams Shan Yu straight into the firework tower.
",1133,"I am ready, baby!  Light me! Mulan kicks Shan Yu in the face, then trips him and pins his shirt to the ground with the sword. Crickee lights the fuse, and the rocket slams Shan Yu straight into the firework tower.",with a rocket strapped to his backHe breaths fire on a stick and hands it to Crickee.
441,Mulan,"[picking up Mushu] Get off the roof, get off the roof! [As the fireworks explode, she jumps, catches a lantern and swings down the cord, then drops onto Shang, who is running down the stairs. Shan Yu's sword and Mushu land nearby.]
",1136,"Get off the roof, get off the roof!","picking up MushuAs the fireworks explode, she jumps, catches a lantern and swings down the cord, then drops onto Shang, who is running down the stairs. Shan Yu's sword and Mushu land nearby."
442,Mushu,"Ahahahahahaha! [He catches Crickee] You are a lucky bug!
",1138,Ahahahahahaha!  You are a lucky bug!,He catches Crickee
443,Chi Fu,"That was a deliberate attempt on my life! Where is she? Now she's done it! What a mess! Stand aside, that creature's not worth protecting.
",1140,"That was a deliberate attempt on my life! Where is she? Now she's done it! What a mess! Stand aside, that creature's not worth protecting.",
444,Shang,"She's a hero!
",1142,She's a hero!,
445,Chi Fu,"She's a woman. She'll never be worth anything!
",1144,She's a woman. She'll never be worth anything!,
446,Shang,"Listen, you pompous ...
",1146,"Listen, you pompous ...",
447,Emperor,"That is enough!
",1148,That is enough!,
448,Shang,"Your Majesty, I can explain! [The Emperor raises a hand and the Gang of Three move to the side, revealing Mulan.]
",1150,"Your Majesty, I can explain!","The Emperor raises a hand and the Gang of Three move to the side, revealing Mulan."
449,Emperor,"I've heard a great deal about you, Fa Mulan. You stole your father's armor, ran away from home, impersonated a soldier, deceived your commanding officer, dishonored the Chinese Army, destroyed my palace! And you have saved us all. [He bows to her, and row by row, every person in the Imperial City bows to her.]
",1152,"I've heard a great deal about you, Fa Mulan. You stole your father's armor, ran away from home, impersonated a soldier, deceived your commanding officer, dishonored the Chinese Army, destroyed my palace! And you have saved us all.","He bows to her, and row by row, every person in the Imperial City bows to her."
450,Mushu,"Our little baby is all grown up and saving China! [To Crickee] Do you have a tissue?
",1154,Our little baby is all grown up and saving China!  Do you have a tissue?,To Crickee
451,Emperor,"Chi Fu!
",1156,Chi Fu!,
452,Chi Fu,"Your Excellency?
",1158,Your Excellency?,
453,Emperor,"See that this woman is made a member of my council.
",1160,See that this woman is made a member of my council.,
454,Chi Fu,"What? There are no council positions open, your Majesty!
",1162,"What? There are no council positions open, your Majesty!",
455,Emperor,"Very well. You can have his job.
",1164,Very well. You can have his job.,
456,Chi Fu,"Wha? ... My? ... [He faints.]
",1166,Wha? ... My? ...,He faints.
457,Mulan,"With all due respect, your Excellency, I think I've been away from home long enough.
",1168,"With all due respect, your Excellency, I think I've been away from home long enough.",
458,Emperor,"Then take this [he hands her a pendant], so your family will know what you have done for me. And this [he hands her the sword of Shan Yu] so the world will know what you have done for China.
Mulan takes the gifts, then hugs the Emperor
",1170,"Then take this , so your family will know what you have done for me. And this  so the world will know what you have done for China. Mulan takes the gifts, then hugs the Emperor",he hands her a pendanthe hands her the sword of Shan Yu
459,Yao,"Is she allowed to do that? [Ling, Chien-Po and Shang shrug.]
Mulan steps away and hugs the Gang of Three, then walks over to Shang.
",1173,"Is she allowed to do that?  Mulan steps away and hugs the Gang of Three, then walks over to Shang.","Ling, Chien-Po and Shang shrug."
460,Shang,"Um ... you ... You fight good.
",1176,Um ... you ... You fight good.,
461,Mulan,"[disappointed] Oh. Thank you. [She mounts Khan.]
",1178,Oh. Thank you.,disappointedShe mounts Khan.
462,Mulan,"Khan, let's go home. [As she rides away, everyone cheers.]
",1180,"Khan, let's go home.","As she rides away, everyone cheers."
463,Emperor,"[To Shang] The flower that blooms in adversity is the rarest and most beautiful of all.
",1182,The flower that blooms in adversity is the rarest and most beautiful of all.,To Shang
464,Shang,"... Sir? ...
",1184,... Sir? ...,
465,Emperor,"You don't meet a girl like that every dynasty! [He puts on his hat and walks away.]
At Mulan's house
Mulan approaches her father, who is sitting under the cherry trees. She kneels in front of him.
",1186,"You don't meet a girl like that every dynasty!  At Mulan's house Mulan approaches her father, who is sitting under the cherry trees. She kneels in front of him.",He puts on his hat and walks away.
466,Fa Zhou,"Mulan!
",1190,Mulan!,
467,Mulan,"Father! I've brought you the sword of Shan-Yu. And the Crest of the Emperor! They're gifts to honor the Fa Family. [Her father drops the gifts and hugs her.]
",1192,Father! I've brought you the sword of Shan-Yu. And the Crest of the Emperor! They're gifts to honor the Fa Family.,Her father drops the gifts and hugs her.
468,Fa Zhou,"The greatest gift in honor is having you for a daughter. I've missed you so.
",1194,The greatest gift in honor is having you for a daughter. I've missed you so.,
469,Mulan,"I've missed you too, Baba.
",1196,"I've missed you too, Baba.",
470,Granny Fa,"[watching them] Huh. She brings home a sword. If you ask me she should've brought home a man!
",1198,Huh. She brings home a sword. If you ask me she should've brought home a man!,watching them
